Year,Area Found ,Plant Species,APTI
2008,Andhra Pradesh, Ficus religiosa (Peepal),25.77
2008,Andhra Pradesh, Zizypus jujube (Jujube) ,22.32
2008,Andhra Pradesh," Phyllanthus emblica (Amla )",18.88
2008,Andhra Pradesh, Cassia fistula (Indian laburnum),18.69
2008,Andhra Pradesh," Tamarindus indica (Tamarind)","16.24"
2008,Andhra Pradesh, Anacardium occidentalis (Cashew) ,15.69
2008,Andhra Pradesh,"Nerium odorum (Sweet scented oleander) ",15.36
2008,Andhra Pradesh,Polyalthia longifolia (Ashoka),15.1
2008,Andhra Pradesh,"Acacia melanorylon (Blackwood) ","14.73"
2008,Andhra Pradesh,"Psidium guava (Guava)",14.08
2008,Andhra Pradesh,Azadirachta indica (Neem),13.55
2008,Andhra Pradesh, Helianthus spp. (Sunflower),12.82
2008,Andhra Pradesh," Morus alba (Mulberry)",11.82
2008,Andhra Pradesh, Mangifera indica (Mango) ,11.7
2008,Andhra Pradesh,"Ficus bengalensis (Banyan) ",11.34
2008,Andhra Pradesh,Eucalyptus spp. ( Eucalyptus),10.64
2008,Andhra Pradesh,Pongamia pinnata (Indian beach),10.09
2008,Andhra Pradesh, Anona squamosa (Custard apple) ,9.34
2008,Andhra Pradesh,"Syzygium spp. (Black plum)",9.07
2008,Andhra Pradesh, Artocarpus spp. (Jack fruit),8.81
2008,Andhra Pradesh," Acacia arabica (Babool)",8.49
2008,Andhra Pradesh,Achras sapota (Sapota),"8.42"
2008,Andhra Pradesh,Delonix regia (Gulmohar) ,6.51
2010,Orissa,Tectona Grandis ,20.97
2010,Orissa, Ficus Glomerata Syzigium Cumini ,19.23
2010,Orissa," Eucalyptus Citriodora",19.02
2010,Orissa,Diospyros Melanonylon ,18.11
2010,Orissa, Ficus Religiosa,23.99
2010,Orissa," Pongamia Pinnata ",23.89
2010,Orissa, Mimusops elengi,20.34
2010,Orissa,Shorea robusta ,16.32
2010,Orissa,Ficus bengalensis,23.92
2010,Orissa,"Delonix regia",24.14
2010,Orissa, Buchania lanzen,18.65
2010,Orissa, Polyalthia longifolia,13.96
2010,Orissa," Mangifera indica",23.34
2010,Orissa, Azadirachta indica,29.74
2010,Orissa, Bombax ceiba,22.41
2010,Orissa, Gmelina arborea,16.89
2010,Orissa,"Anthocephalus chinesis",13.32
2010,Orissa, Acacia Arabica,17.92
2010,Orissa, Sghleichera oleosa,16.74
2010,Orissa," Butea monosperma",22.56
2010,Orissa, Madhuca indica,19.92
2010,Orissa, Aegle marmelos ,23.71
2010,Orissa," Dalbergia sisoo",19.31
2010,Orissa,Bambusa bamboos,26.92
2010,Orissa, Cuscuta reflexa ,18.32
2010,Orissa, Ziziphus jujube,13.37
2010,Orissa," Artocarpus heterophy",18.27
2010,Orissa," Calotropis gigantean",24.85
2010,Orissa,Lantana camara,17.89
2010,Orissa,"Tabernamontana divaricata",14.26
