year,state,so2,no2,pm2_5,AQI
2000,Delhi,15.08981481,39.93796296,95.11320755,195.6023323
2000,Gujarat,11.83699615,25.09833333,30.72969596,87.1420898
2000,Haryana,25.4125,10.0375,48.4771405,108.9486873
2000,Kerala,14.06728395,23.45740741,48.4771405,111.5420515
2000,Maharashtra,20.1516129,33.33369176,48.4771405,131.4928181
2000,Tamil Nadu,9.933867801,22.12690086,29.55044053,79.4765482
2000,West Bengal,19.81234568,48.89135802,64.890625,172.4004629
2001,Delhi,12.91212121,39.01414141,95.11320755,191.7254384
2001,Gujarat,12.5072374,31.22068966,30.72969596,95.63283675
2001,Haryana,22.85,14.11111111,48.4771405,110.8375762
2001,Kerala,9.977639752,14.64347826,48.4771405,95.41258484
2001,Maharashtra,20.12834646,32.50866142,48.4771405,130.4324471
2001,Tamil Nadu,11.23266011,24.05142857,29.55044053,83.50569822
2001,West Bengal,14.4827957,62.31935484,64.890625,182.5235215
2002,Delhi,10.9029207,37.32742866,95.11320755,187.1055468
2002,Gujarat,13.93533835,28.23007519,30.72969596,93.67969485
2002,Haryana,18.28055556,23.36944444,48.4771405,116.6986873
2002,Kerala,9.098170732,10.25121951,48.4771405,88.82292513
2002,Maharashtra,18.3752809,29.81086142,48.4771405,124.8688652
2002,Tamil Nadu,13.5109603,25.88192129,29.55044053,88.64168937
2002,West Bengal,10.24791667,63.79375,64.890625,179.0729166
2003,Delhi,9.889588775,42.79757627,95.11320755,192.6765664
2003,Gujarat,0,0,30.72969596,40.97292795
2003,Maharashtra,6.077823011,18.87584073,48.4771405,95.828267
2004,Delhi,8.737272727,53.489147,95.11320755,204.6006347
2004,Gujarat,18.60693737,27.9859532,30.72969596,99.21404114
2004,Haryana,12.95226481,22.32473868,48.4771405,108.7324417
2004,Maharashtra,19.40695841,29.45340395,48.4771405,125.7116403
2004,Tamil Nadu,6.243097826,22.43653986,29.55044053,75.25013448
2004,West Bengal,11.75082566,59.74377224,64.890625,175.8890807
2005,Delhi,9.212413494,49.03409161,95.11320755,199.6257415
2005,Gujarat,17.20986262,27.72972973,30.72969596,97.14741836
2005,Haryana,11.93550332,23.04443911,48.4771405,108.3611154
2005,Kerala,8.253715618,17.65598156,48.4771405,97.02330879
2005,Maharashtra,19.96402377,29.5900785,48.4771405,126.5788152
2005,Tamil Nadu,11.84324549,25.32835612,29.55044053,85.86508938
2005,West Bengal,10.09049567,52.81075811,64.890625,165.1474005
2006,Delhi,9.533824734,46.51806131,95.11320755,196.8824677
2006,Gujarat,16.40791164,25.74417134,30.72969596,93.66303166
2006,Haryana,10.33729602,20.61413915,48.4771405,103.3254813
2006,Kerala,8.358956285,16.91067953,48.4771405,96.22323209
