date,state,pm2_5,pm10,o3,no2,so2,co
5/1/2020,delhi,161,85,13,2, ,1
5/2/2020,delhi,116,68,7,2, ,2
5/3/2020,delhi,107,41,7,2, ,2
4/1/2020,delhi,114,66,13,2,4,1
4/2/2020,delhi,113,72,18,3,4,2
4/3/2020,delhi,119,78,15,5,4,3
4/4/2020,delhi,130,93,17,4,5,4
4/5/2020,delhi,148,94,14,4,5,3
4/6/2020,delhi,144,85,14,3,4,2
4/7/2020,delhi,108,74,16,3,4,1
4/8/2020,delhi,106,78,18,4,5,3
4/9/2020,delhi,121,99,17,5,6,4
4/10/2020,delhi,145,91,18,4,6,3
4/11/2020,delhi,134,87,16,3,6,3
4/12/2020,delhi,125,117,18,6,7,5
4/13/2020,delhi,152,144,8,7,6,6
4/14/2020,delhi,168,157,13,7,4,6
4/15/2020,delhi,164,143,14,4,6,5
4/16/2020,delhi,145,77,16,2,4,2
4/17/2020,delhi,86,82,16,2,4,2
4/18/2020,delhi,101,76,11,4,4,3
4/19/2020,delhi,110,96,6,5,5,4
4/20/2020,delhi,124,82,13,3,5,3
4/21/2020,delhi,121,109,17,4,8,4
4/22/2020,delhi,147,107,15,5,6,5
4/23/2020,delhi,143,103,18,6,6,4
4/24/2020,delhi,151,77,18,3,5,2
4/25/2020,delhi,91,85,11,3,5,2
4/26/2020,delhi,107,55,15,2,4,2
4/27/2020,delhi,96,74,16,3,5,3
4/28/2020,delhi,130,89,18,3,5,3
4/29/2020,delhi,147,89,19,3, ,4
4/30/2020,delhi,148,112,10,3, ,5
3/1/2020,delhi,120,119,13,11,7,10
3/2/2020,delhi,170,140,3,18,5,12
3/3/2020,delhi,161,132,14,14,5,9
3/4/2020,delhi,170,51,12,10,3,6
3/5/2020,delhi,104,40,11,11,4,7
3/6/2020,delhi,92,72,12,13,4,9
3/7/2020,delhi,126,107,19,10,3,9
3/8/2020,delhi,168,97,12,7,4,5
3/9/2020,delhi,156,185,4,8,7,8
3/10/2020,delhi,254,79,12,12,2,6
3/11/2020,delhi,139,118,9,12,4,8
3/12/2020,delhi,157,150,15,12,5,7
3/13/2020,delhi,160,58,9,8,4,4
3/14/2020,delhi,124, ,16,9,4,3
3/15/2020,delhi,162,133,14,7,5,5
3/16/2020,delhi,156,129,15,9,5,6
3/17/2020,delhi,166,116,15,8,5,5
3/18/2020,delhi,159,159,17,10,8,7
3/19/2020,delhi,198,153,19,14,7,11
3/20/2020,delhi,175,155,18,12,7,9
3/21/2020,delhi,186,96,16,6,5,5
3/22/2020,delhi,163,87,15,6,5,4
3/23/2020,delhi,149,71,14,6,6,3
3/24/2020,delhi,134,62,10,4,4,3
3/25/2020,delhi,123,75,5,3,5,4
3/26/2020,delhi,134,39,4,3,3,1
3/27/2020,delhi,90,38,6,3,3,2
3/28/2020,delhi,87,60,10,2,4,2
3/29/2020,delhi,104,68,12,3,4,2
3/30/2020,delhi,121,68,12,3,4,1
3/31/2020,delhi,121,68,12,3,5,2
2/1/2020,delhi,215,148,12,10,4,9
2/2/2020,delhi,231,240,19,13,4,15
2/3/2020,delhi,260,320,23,18,4,16
2/4/2020,delhi,305,197,15,10,4,7
2/5/2020,delhi,261,189,18,13,3,9
2/6/2020,delhi,240,193,18,12,3,10
2/7/2020,delhi,254,158,18,10,5,8
2/8/2020,delhi,261,203,21,11,4,9
2/9/2020,delhi,268,283,18,14,4,17
2/10/2020,delhi,304,243,20,13,3,16
2/11/2020,delhi,283,212,18,10,6,8
2/12/2020,delhi,273,113,17,7,5,5
2/13/2020,delhi,190,105,16,6,3,5
2/14/2020,delhi,172,116,21,9,5,5
2/15/2020,delhi,188,241,21,14,7,15
2/16/2020,delhi,272,230,20,14,6,11
2/17/2020,delhi,273,191,22,15,5,15
2/18/2020,delhi,229,245,18,18,5,22
2/19/2020,delhi,250,141,22,12,3,7
2/20/2020,delhi,181,59,11,7,2,5
2/21/2020,delhi,134,96,3,14,5,9
2/22/2020,delhi,165,122,14,10,7,8
2/23/2020,delhi,192,100,17,11,6,8
2/24/2020,delhi,166,152,17,12,8,9
2/25/2020,delhi,234,254,17,14,7,14
2/26/2020,delhi,274,152,18,18,6,12
2/27/2020,delhi,207,114,14,13,4,7
2/28/2020,delhi,168,83,12,11,4,8
2/29/2020,delhi,154,57,16,10,4,6
1/1/2020,delhi,424,428,28,13,3,32
1/2/2020,delhi,411,315,5,14,2,27
1/3/2020,delhi,322,274,12,12,2,18
1/4/2020,delhi,335,160,11,10,2,7
1/5/2020,delhi,260,164,4,11,2,8
1/6/2020,delhi,242,130,11,12,2,10
1/7/2020,delhi,206,93,7,8,1,8
1/8/2020,delhi,192,91,7,5,1,6
1/9/2020,delhi,184,117,11,8,2,8
1/10/2020,delhi,205,188,15,11,2,11
1/11/2020,delhi,248,318,13,13,2,25
1/12/2020,delhi,307,194,6,15,2,16
1/13/2020,delhi,278,98,7,5,1,6
1/14/2020,delhi,188,114,13,8,2,6
1/15/2020,delhi,197,129,4,8,1,7
1/16/2020,delhi,215,118,5,7,1,8
1/17/2020,delhi,202,125,6,9,1,9
1/18/2020,delhi,204,111,10,4,1,5
1/19/2020,delhi,196,165,7,8,4,10
1/20/2020,delhi,228,382,6,15,5,20
1/21/2020,delhi,385,193,15,11, ,13
1/22/2020,delhi,267,91,12,8,1,5
1/23/2020,delhi,168,124,15,11,2,7
1/24/2020,delhi,184,204,13,15,3,16
1/25/2020,delhi,248,330,17,12,3,21
1/26/2020,delhi,324,260,8,19,3,18
1/27/2020,delhi,312,96,9,11,2,8
1/28/2020,delhi,186,99,16,8,3,5
1/29/2020,delhi,185,114,14,8,3,6
1/30/2020,delhi,189,128,11,9,3,7
1/31/2020,delhi,194,179,17,10,3,13
10/1/2019,delhi,102,86,10,10,2,9
10/2/2019,delhi,133,127,22,12,2,9
10/3/2019,delhi,161,68,15,6,2,6
10/4/2019,delhi,122,74,14,6,2,5
10/5/2019,delhi,121,94,19,6,2,6
10/6/2019,delhi,145,91,18,5,2,5
10/7/2019,delhi,139,79,20,4,2,5
10/8/2019,delhi,121,145,32,12,3,11
10/9/2019,delhi,167,173,41,13,3,11
10/10/2019,delhi,194,143,29,7,3,11
