date,state,pm2_5,pm10,o3,no2,so2,co
5/1/2020,gujrat,85,53,54,6,12,4
5/2/2020,gujrat,72,54,55,6,8,5
5/3/2020,gujrat,75,54,53,5,9,7
5/4/2020,gujrat,68, , , , , 
4/1/2020,gujrat,79,67,32,12,8,2
4/2/2020,gujrat,80,66,39,18,10,6
4/3/2020,gujrat,94,65,47,17,13,3
4/4/2020,gujrat,107,66,46,18,13,3
4/5/2020,gujrat,116,70,42,12,9,2
4/6/2020,gujrat,121,74,44,7,13,3
4/7/2020,gujrat,116,67,141,6,14,2
4/8/2020,gujrat,102,68,39,10,9,2
4/9/2020,gujrat,95,62,37,12,13,3
4/10/2020,gujrat,90,59,34,15,12,3
4/11/2020,gujrat,90,58,38,11,8,2
4/12/2020,gujrat,79,51,39,11,12,3
4/13/2020,gujrat,186,58,35,10,11,2
4/14/2020,gujrat,92,55,34,8,9,3
4/15/2020,gujrat,75,64,38,19,11,4
4/16/2020,gujrat,114,61,38,11,7,2
4/17/2020,gujrat,88,70,35,8,15,3
4/18/2020,gujrat,89,54,36,6,10,2
4/19/2020,gujrat,69,61,33,6,12,2
4/20/2020,gujrat,87,60,33,7,7,3
4/21/2020,gujrat,92,70,37,7,8,3
4/22/2020,gujrat,94,63,38,6,15,2
4/23/2020,gujrat,92,63,43,10,8,2
4/24/2020,gujrat,85,57,37,5,8,3
4/25/2020,gujrat,83,59,41,5,3,3
4/26/2020,gujrat,80,64,48,8,13,3
4/27/2020,gujrat,92,65,48,11,19,3
4/28/2020,gujrat,94,61,51,10,14,5
4/29/2020,gujrat,83,60,55,7,16,3
4/30/2020,gujrat,83,67,50,5,12,4
3/1/2020,gujrat,128,98,23,28,35,9
3/2/2020,gujrat,134,112,11,30,71,11
3/3/2020,gujrat,164,85,39,13,28,6
3/4/2020,gujrat,120,80,29,10,32,4
3/5/2020,gujrat,113,87,25,13,37,4
3/6/2020,gujrat,127,92,36,18,18,4
3/7/2020,gujrat,122,68, ,22,19,5
3/8/2020,gujrat,189,68,35,13,17,4
3/9/2020,gujrat,103,69,6,7,11,3
3/10/2020,gujrat,102,64,6,9,9,2
3/11/2020,gujrat,92,79,7,13,17,2
3/12/2020,gujrat,104,72,33,11,10,2
3/13/2020,gujrat,108,78,31,15,21,3
3/14/2020,gujrat,111,80,25,14,13,2
3/15/2020,gujrat,110,67,40,15,12,3
3/16/2020,gujrat,103,82,38,16,15,6
3/17/2020,gujrat,130,84,42,19,18,6
3/18/2020,gujrat,137,101,25,19,31,4
3/19/2020,gujrat,175,72,25,14,27,3
3/20/2020,gujrat,116,89,28,13,39,5
3/21/2020,gujrat,155,85,23,7,20,6
3/22/2020,gujrat,122,76,39,14,15,3
3/23/2020,gujrat,112,71,38,10,20,4
3/24/2020,gujrat,93,69,28,16,26,11
3/25/2020,gujrat,99,67,32,10,14,2
3/26/2020,gujrat,111,33,26,8,7,3
3/27/2020,gujrat,77,59,30,16,7,2
3/28/2020,gujrat,101,61,29,12,10,3
3/29/2020,gujrat,71,67,26,16,8,2
3/30/2020,gujrat,86,71,31,9,15,2
3/31/2020,gujrat,86,66,29,9,10,3
2/1/2020,gujrat,136,70,10,17,16,6
2/2/2020,gujrat,128,76,29,21,14,7
2/3/2020,gujrat,146,87,30,26,22,7
2/4/2020,gujrat,156,92,23,27,27,7
2/5/2020,gujrat,157,81,25,25,24,5
2/6/2020,gujrat,134,89,27,24,22,10
2/7/2020,gujrat,149,94,29,23,21,4
2/8/2020,gujrat,272,84,16,18,12,5
2/9/2020,gujrat,157,82,31,23,15,6
2/10/2020,gujrat,149,95,29,25,22,7
2/11/2020,gujrat,161,114,33,24,25,11
2/12/2020,gujrat,163,110,32,21,17,5
2/13/2020,gujrat,163,81,12,26,24,6
2/14/2020,gujrat,128,91,31,30,27,7
2/15/2020,gujrat,156,84,31,29,28,6
2/16/2020,gujrat,140,104,35,20,25,10
2/17/2020,gujrat,122,102,35,26,30,13
2/18/2020,gujrat,155,122,62,32,67,7
2/19/2020,gujrat,174,106,33,32,50,6
2/20/2020,gujrat,138,85,29,23,33,4
2/21/2020,gujrat,128,72,36,24,19,5
2/22/2020,gujrat,104,75,21,24,20,5
2/23/2020,gujrat,138,94,37,34,19,5
2/24/2020,gujrat,147,139,35,44,42,9
2/25/2020,gujrat,153,157,24,58,62,12
2/26/2020,gujrat,196,109,33,43,35,15
2/27/2020,gujrat,166,106,35,42,33,12
2/28/2020,gujrat,145,90,37,34,32,11
2/29/2020,gujrat,133,84,21,26,34,10
1/1/2020,gujrat,162,87,9,6,11,7
1/2/2020,gujrat,159,87,9,7,16,8
1/3/2020,gujrat,157,92,9,9,19,8
1/4/2020,gujrat,147,75,9,6,19,6
1/5/2020,gujrat,133,80,9,8,17,9
1/6/2020,gujrat,123,101,9,10,26,7
1/7/2020,gujrat,157,78,9,7,14,7
1/8/2020,gujrat,135,67,9,6,19,7
1/9/2020,gujrat,108,77,9,5,13,7
1/10/2020,gujrat,139,78,9,6,20,7
1/11/2020,gujrat,147,102,9,9,26,9
1/12/2020,gujrat,166,82,9,8,33,7
1/13/2020,gujrat,150,31,9,7,11,6
1/14/2020,gujrat,103,61,9,7,9,5
1/15/2020,gujrat,119,62,9,6,4,6
1/16/2020,gujrat,112,360,9,7,17,7
1/17/2020,gujrat,159,74,9,11,30,6
1/18/2020,gujrat,136,62,9,9,21,6
1/19/2020,gujrat,103,65,9,7,22,6
1/20/2020,gujrat,102,84,9,12,37,7
1/21/2020,gujrat,130,82,9,10,24,5
1/22/2020,gujrat,133,68,9,7,17,6
1/23/2020,gujrat,111,63,9,11,33,5
1/24/2020,gujrat,106,89,19,10,52,5
1/25/2020,gujrat,153,120,15,5,50,17
1/26/2020,gujrat,131,65,19,13,23,4
1/27/2020,gujrat,95,55,16,8,15,5
1/28/2020,gujrat,63,60,13,9,39,7
1/29/2020,gujrat,93,67,20,12,58,7
1/30/2020,gujrat,112,78,19,24,37,8
1/31/2020,gujrat,141,81,29,24,25,12
10/1/2019,gujrat,83,76,26,56,53,32
10/2/2019,gujrat,132,86,32,46,43,30
10/3/2019,gujrat,126,86,37,47,48,36
10/4/2019,gujrat,122,92,31,76,58,35
10/5/2019,gujrat,139,81,60,57,59,28
10/6/2019,gujrat,148,108,58,71,55,39
10/7/2019,gujrat,178,99,68,70,59,35
10/8/2019,gujrat,152,125,65,81,54,25
10/9/2019,gujrat,178,120,59,80,55,39
10/10/2019,gujrat,190,99,66,84,56,34
10/11/2019,gujrat,141,129,40,93,62,24
10/12/2019,gujrat,185,191,11,79, , 
10/13/2019,gujrat,245,166,30,76,62,11
10/14/2019,gujrat,168,130,44,84,59,32
10/15/2019,gujrat,165,121,73,83,55,21
10/16/2019,gujrat,169,112,43,87,51,30
10/17/2019,gujrat,174,110,56,85, ,19
10/18/2019,gujrat,182,100,62,74,41,7
10/19/2019,gujrat,167,87,57,71,43,6
10/20/2019,gujrat,167,82,79,56,44,3
10/21/2019,gujrat,163,87,84,50,45,4
10/22/2019,gujrat,166,64,66,53,47,4
10/23/2019,gujrat,125,76,85,60,47,5
10/24/2019,gujrat,130,97,75,76,53,7
10/25/2019,gujrat,161,77,91,40,38,3
10/26/2019,gujrat,146,63,63,33,48,5
10/27/2019,gujrat,141,104,30,31,44,3
10/28/2019,gujrat,146,69,30,28,44,2
10/29/2019,gujrat,101,43,32,34,52,11
10/30/2019,gujrat,57,90,40,53,49,13
10/31/2019,gujrat,127,95,34,52,53,9
11/1/2019,gujrat,145,78,22,40,49,9
11/2/2019,gujrat,110,56,24,49,53,11
11/3/2019,gujrat,94,79,60,77,53,8
11/4/2019,gujrat,153,88,46,85,55,10
11/5/2019,gujrat,164,108,70,77,46,8
11/6/2019,gujrat,181,61,34,74,59,10
11/7/2019,gujrat,134,69,19,68,62,8
11/8/2019,gujrat,149,76,28,69,61,10
11/9/2019,gujrat,132,89,27,66,61,9
11/10/2019,gujrat,156,108,28,80, ,13
11/11/2019,gujrat,165,142,28,100, ,12
11/12/2019,gujrat,169,107,21,89, ,12
11/13/2019,gujrat,169,81,17,84,59,9
11/14/2019,gujrat,132,70,6,54,57,11
11/15/2019,gujrat,115,86,7,64,60,11
11/16/2019,gujrat,159,62,6,60,56,15
11/17/2019,gujrat,146,70,6,68,58,16
11/18/2019,gujrat,143,65,7,52,61,6
11/19/2019,gujrat,133,69,7,45,67,14
11/20/2019,gujrat,115,68,6,51,59,7
11/21/2019,gujrat,135,70,7,46,74,8
11/22/2019,gujrat,140,75,6,50,55,6
11/23/2019,gujrat,144,72,7,46,55,8
11/24/2019,gujrat,147,77,6,52,53,11
11/25/2019,gujrat,161,73,36,43,57,9
11/26/2019,gujrat,145,75,32,45,58,6
11/27/2019,gujrat,136,65,25,59,66,9
