date,state,pm2_5,pm10,o3,no2,so2,co
5/1/2020,Haryana,151, ,50, ,2,5
5/2/2020,Haryana,102, ,29, ,2,5
5/3/2020,Haryana,110, , , , , 
4/1/2020,Haryana,85, ,43, ,3,4
4/2/2020,Haryana,59, ,56, ,3,3
4/3/2020,Haryana,76, ,51, ,3,3
4/4/2020,Haryana,91, ,65, ,4,5
4/5/2020,Haryana,118, ,48, ,2,5
4/6/2020,Haryana,114, ,48, ,3,3
4/7/2020,Haryana,88, ,50, ,2,2
4/8/2020,Haryana,77, ,60, ,2,3
4/9/2020,Haryana,86, ,65, ,3,4
4/10/2020,Haryana,114, ,75, ,3,6
4/11/2020,Haryana,123, ,58, ,1,3
4/12/2020,Haryana,87, ,57, ,2,4
4/13/2020,Haryana,120, ,64, ,2,6
4/14/2020,Haryana,125, ,52, ,3,4
4/15/2020,Haryana,143, ,75, ,3,5
4/16/2020,Haryana,133, ,53, ,1,3
4/17/2020,Haryana,75, ,55, ,2,3
4/18/2020,Haryana,78, ,60, , ,2
4/19/2020,Haryana,76, ,42, ,2,4
4/20/2020,Haryana,106, ,66, ,3,3
4/21/2020,Haryana,88, ,71, ,2,3
4/22/2020,Haryana,112, ,48, ,2,6
4/23/2020,Haryana,137, ,74, ,2,6
4/24/2020,Haryana,138, ,65, ,1,3
4/25/2020,Haryana,87, ,34, ,2,4
4/26/2020,Haryana,119, ,59, ,2,3
4/27/2020,Haryana,86, ,63, ,1,2
4/28/2020,Haryana,107, ,76, ,2,5
4/29/2020,Haryana,135, ,67, ,3,4
4/30/2020,Haryana,132, ,53, ,2,5
3/1/2020,Haryana,87, ,67, ,16,17
3/2/2020,Haryana,168, , , ,7,25
3/3/2020,Haryana,196, ,29, ,7,6
3/4/2020,Haryana,119, ,30, ,6,4
3/5/2020,Haryana,89, ,27, ,4,6
3/6/2020,Haryana,50, ,34, ,8,7
3/7/2020,Haryana,110, ,42, ,6,8
3/8/2020,Haryana,138, ,41, ,6,5
3/9/2020,Haryana,141, ,53, ,7,7
3/10/2020,Haryana,179, ,52, ,13,5
3/11/2020,Haryana,122, ,33, ,4,5
3/12/2020,Haryana,137, ,43, ,6,4
3/13/2020,Haryana,130, ,30, ,3,6
3/14/2020,Haryana,107, ,45, ,2,5
3/15/2020,Haryana,121, ,57, ,4,6
3/16/2020,Haryana,136, ,60, ,5,7
3/17/2020,Haryana,137, ,55, ,6,9
3/18/2020,Haryana,141, ,56, ,6,10
3/19/2020,Haryana,157, ,63, ,8,10
3/20/2020,Haryana,165, ,82, ,8,8
3/21/2020,Haryana,143, ,62, ,2,6
3/22/2020,Haryana,141, ,60, ,3,5
3/23/2020,Haryana,121, ,47, ,2,7
3/24/2020,Haryana,136, ,40, ,1,4
3/25/2020,Haryana,91, ,26, ,2,2
3/26/2020,Haryana,87, ,27, ,2,4
3/27/2020,Haryana,69, ,35, ,1,2
3/28/2020,Haryana,55, ,39, ,2,2
3/29/2020,Haryana,64, ,44, ,2,3
3/30/2020,Haryana,82, ,47, ,1,3
3/31/2020,Haryana,81, ,49, ,2,3
2/1/2020,Haryana,166, ,43, ,4,16
2/2/2020,Haryana,170, ,54, ,14,16
2/3/2020,Haryana,171, ,63, ,21,21
2/4/2020,Haryana,215, ,55, ,22,14
2/5/2020,Haryana,188, ,66, ,24,13
2/6/2020,Haryana,171, ,48, ,22,15
2/7/2020,Haryana,211, ,45, ,6,15
2/8/2020,Haryana,187, ,58, ,6,14
2/9/2020,Haryana,192, ,70, ,11,15
2/10/2020,Haryana,208, ,58, ,18,22
2/11/2020,Haryana,201, ,63, ,27,13
2/12/2020,Haryana,178, ,39, ,22,10
2/13/2020,Haryana,142, ,42, ,15,20
2/14/2020,Haryana,134, ,55, ,21,19
2/15/2020,Haryana,140, ,70, ,26,18
2/16/2020,Haryana,174, ,63, ,27,17
2/17/2020,Haryana,190, ,62, ,27,13
2/18/2020,Haryana,156, ,60, ,22,17
2/19/2020,Haryana,207, ,53, ,5,10
2/20/2020,Haryana,163, ,34, ,4,9
2/21/2020,Haryana,104, ,36, ,7,13
2/22/2020,Haryana,135, ,60, ,9,16
2/23/2020,Haryana,166, ,54, ,11,8
2/24/2020,Haryana,139, ,37, ,28,19
2/25/2020,Haryana,170, ,87, ,14,19
2/26/2020,Haryana,184, ,42, ,10,7
2/27/2020,Haryana,162, ,43, ,7,5
2/28/2020,Haryana,157, ,31, ,7,6
2/29/2020,Haryana,132, ,30, ,13,10
1/1/2020,Haryana,453, ,28, ,26,38
1/2/2020,Haryana,370, ,37, ,36,29
1/3/2020,Haryana,256, ,42, ,32,18
1/4/2020,Haryana,235, ,41, ,16,14
1/5/2020,Haryana,226, ,20, ,19,13
1/6/2020,Haryana,207, ,19, ,13,9
1/7/2020,Haryana,174, ,14, ,13,10
1/8/2020,Haryana,187, ,27, ,12,6
1/9/2020,Haryana,167, ,36, ,24,11
1/10/2020,Haryana,182, ,29, ,15,14
1/11/2020,Haryana,203, ,51, ,19,27
1/12/2020,Haryana,278, ,36, ,14,26
1/13/2020,Haryana,267, ,26, ,10,12
1/14/2020,Haryana,191, ,36, ,12,12
1/15/2020,Haryana,179, ,12, ,12,15
1/16/2020,Haryana,198, ,23, ,11,11
1/17/2020,Haryana,153, ,9, ,12,19
1/18/2020,Haryana,209, ,32, ,12,9
1/19/2020,Haryana,185, ,23, ,16,10
1/20/2020,Haryana,187, ,20, ,17,15
1/21/2020,Haryana,238, ,33, ,35,16
1/22/2020,Haryana,228, ,35, ,7,22
1/23/2020,Haryana,144, ,40, ,8,19
1/24/2020,Haryana,138, ,45, ,15,28
1/25/2020,Haryana,185, ,45, ,12,30
1/26/2020,Haryana,227, ,32, ,15,28
1/27/2020,Haryana,237, ,30, ,7,21
1/28/2020,Haryana,181, ,34, ,20,23
1/29/2020,Haryana,150, ,34, ,9,21
1/30/2020,Haryana,149, ,47, ,23,19
1/31/2020,Haryana,137, ,51, ,18,18
10/1/2019,Haryana,72, ,31, ,2,9
10/2/2019,Haryana,70, ,45, ,4,12
10/3/2019,Haryana,138, ,48, ,3,10
10/4/2019,Haryana,132, ,50, ,5,16
10/5/2019,Haryana,108, ,27, ,5,14
10/6/2019,Haryana,142, ,31, ,1,15
10/7/2019,Haryana,137, ,47, ,2,8
10/8/2019,Haryana,113, ,43, ,3,11
10/9/2019,Haryana,150, ,65, ,6,15
10/10/2019,Haryana,155, ,71, ,6,17
10/11/2019,Haryana,171, ,71, ,6,17
10/12/2019,Haryana,172, ,73, ,5,23
10/13/2019,Haryana,179, ,51, ,7,24
10/14/2019,Haryana,186, ,76, ,5,25
10/15/2019,Haryana,206, ,63, ,3,19
