date,state,pm2_5,pm10,o3,no2,co2
5/1/2020,maharashtra,64,57,48,36,59
5/2/2020,maharashtra,59,62,38,14,53
5/3/2020,maharashtra,60,NA,30,17,60
4/1/2020,maharashtra,48,47,43,19,53
4/2/2020,maharashtra,51,60,45,19,53
4/3/2020,maharashtra,61,63,44,17,66
4/4/2020,maharashtra,65,71,45,17,58
4/5/2020,maharashtra,72,61,41,16,59
4/6/2020,maharashtra,63,61,37,16,57
4/7/2020,maharashtra,66,58,30,16,46
4/8/2020,maharashtra,62,60,33,17,50
4/9/2020,maharashtra,62,68,40,17,58
4/10/2020,maharashtra,72,78,44,17,57
4/11/2020,maharashtra,82,57,41,17,56
4/12/2020,maharashtra,60,58,41,17,60
4/13/2020,maharashtra,62,63,36,17,59
4/14/2020,maharashtra,68,64,42,17,69
4/15/2020,maharashtra,73,53,39,16,57
4/16/2020,maharashtra,60,53,44,16,67
4/17/2020,maharashtra,61,52,46,16,65
4/18/2020,maharashtra,59,53,44,18,62
4/19/2020,maharashtra,58,54,44,27,62
4/20/2020,maharashtra,59,54,44,27,62
4/21/2020,maharashtra,59,54,44,27,62
4/22/2020,maharashtra,59,54,44,27,62
4/23/2020,maharashtra,59,54,44,27,62
4/24/2020,maharashtra,59,54,44,27,62
4/25/2020,maharashtra,59,54,44,27,62
4/26/2020,maharashtra,59,54, , , 
4/27/2020,maharashtra,59, , , , 
3/1/2020,maharashtra,106,98,47,35,39
3/2/2020,maharashtra,95,85,34,31,39
3/3/2020,maharashtra,83,84,42,27,37
3/4/2020,maharashtra,82,100,47,27,46
3/5/2020,maharashtra,99,85,36,23,52
3/6/2020,maharashtra,84,70,30,21,51
3/7/2020,maharashtra,71,90,41,28,57
3/8/2020,maharashtra,90,96,37,31,55
3/9/2020,maharashtra,96,83,35,28,55
3/10/2020,maharashtra,83,52,35,18,74
3/11/2020,maharashtra,55,48,44,22,66
3/12/2020,maharashtra,51,55,44,24,57
3/13/2020,maharashtra,58,86,46,32,57
3/14/2020,maharashtra,87,117,54,37,56
3/15/2020,maharashtra,144,106,51,42,60
3/16/2020,maharashtra,115,96,65,42,53
3/17/2020,maharashtra,96,98,52,40,59
3/18/2020,maharashtra,97,82,44,24,63
3/19/2020,maharashtra,83,74,38,26,58
3/20/2020,maharashtra,75,80,38,22,58
3/21/2020,maharashtra,81,71,41,23,56
3/22/2020,maharashtra,72,57,48,19,60
3/23/2020,maharashtra,59,72,51,20,68
3/24/2020,maharashtra,73,68,50,19,64
3/25/2020,maharashtra,69,36,42,19,65
3/26/2020,maharashtra,39,41,44,20,64
3/27/2020,maharashtra,44,53,43,21,58
3/28/2020,maharashtra,55,55,47,22,62
3/29/2020,maharashtra,57,66,47,21,56
3/30/2020,maharashtra,65,56,54,18,62
3/31/2020,maharashtra,56,45,49,20,57
2/1/2020,maharashtra,184,106,43,43,48
2/2/2020,maharashtra,119,89,39,32,35
2/3/2020,maharashtra,86,86,37,27,32
2/4/2020,maharashtra,84,105,48,34,34
2/5/2020,maharashtra,117,114,43,38,35
2/6/2020,maharashtra,129,107,43,36,32
2/7/2020,maharashtra,112,108,39,36,34
2/8/2020,maharashtra,113,104,30,43,36
2/9/2020,maharashtra,109,82,20,44,33
2/10/2020,maharashtra,80,75,18,44,34
2/11/2020,maharashtra,73,100,22,35,53
2/12/2020,maharashtra,103,115,25,33,33
2/13/2020,maharashtra,134,124,42,43,35
2/14/2020,maharashtra,159,112,47,50,35
2/15/2020,maharashtra,126,118,42,52,37
2/16/2020,maharashtra,143,124,33,63,34
2/17/2020,maharashtra,162,141,41,63,35
2/18/2020,maharashtra,208,127,38,62,36
2/19/2020,maharashtra,168,127,49,58,38
2/20/2020,maharashtra,169,119,53,43,36
2/21/2020,maharashtra,144,108,46,49,38
2/22/2020,maharashtra,114,112,55,51,38
2/23/2020,maharashtra,126,109,49,45,36
2/24/2020,maharashtra,117,110,39,47,35
