date,state,pm2_5,pm10,o3,no2,so2,co
5/1/2020,Tamil Nadu,59, ,46,1,1,7
5/2/2020,Tamil Nadu,56, ,49,1,1,8
5/3/2020,Tamil Nadu,46, ,48,1,1,7
5/4/2020,Tamil Nadu,38, , , , , 
4/1/2020,Tamil Nadu,116,50,47,4,2,4
4/2/2020,Tamil Nadu,84,72,52,3,2,4
4/3/2020,Tamil Nadu,80,127,53,3,1,4
4/4/2020,Tamil Nadu,78,39,52,4,2,5
4/5/2020,Tamil Nadu,84,53,39,3,2,5
4/6/2020,Tamil Nadu,53,51,41,3,2,4
4/7/2020,Tamil Nadu,49,139,41,3,2,4
4/8/2020,Tamil Nadu,55,133,41,5,2,4
4/9/2020,Tamil Nadu,50, ,36,4,1,4
4/10/2020,Tamil Nadu,54, ,40,4,1,4
4/11/2020,Tamil Nadu,69, ,41,5,1,6
4/12/2020,Tamil Nadu,70, ,48,6,1,7
4/13/2020,Tamil Nadu,84, ,54,3,2,5
4/14/2020,Tamil Nadu,74, ,45,1,2,4
4/15/2020,Tamil Nadu,53, ,45,2,2,4
4/16/2020,Tamil Nadu,47, ,42,3,2,4
4/17/2020,Tamil Nadu,34, ,41,4,1,6
4/18/2020,Tamil Nadu,44, ,47,4,1,5
4/19/2020,Tamil Nadu,44, ,49,2,2,4
4/20/2020,Tamil Nadu,45, ,51,3,1,6
4/21/2020,Tamil Nadu,67, ,45,6,1,4
4/22/2020,Tamil Nadu,65, ,43,9,1,4
4/23/2020,Tamil Nadu,41, ,45,7,2,5
4/24/2020,Tamil Nadu,36, ,45,9,1,7
4/25/2020,Tamil Nadu,60, ,48,4,1,8
4/26/2020,Tamil Nadu,67, ,46,5,1,8
4/27/2020,Tamil Nadu,46, ,48,3,1,7
4/28/2020,Tamil Nadu,31, ,48,4,1,6
4/29/2020,Tamil Nadu,49, ,51,8,1,6
4/30/2020,Tamil Nadu,53, ,44,2,1,8
3/1/2020,Tamil Nadu,115,53,20,10,19,11
3/2/2020,Tamil Nadu,136,52,20,6,29,8
3/3/2020,Tamil Nadu,84,53,17,9,5,14
3/4/2020,Tamil Nadu,74,29,22,8,2,10
3/5/2020,Tamil Nadu,60,23,24,5,1,8
3/6/2020,Tamil Nadu,82,23,12,5,1,8
3/7/2020,Tamil Nadu,87,24,19,3,3,7
3/8/2020,Tamil Nadu,79,27,16,6,2,8
3/9/2020,Tamil Nadu,114,36,24,3,2,3
3/10/2020,Tamil Nadu,108,35,32,5,3,4
3/11/2020,Tamil Nadu,57,37,28,5,3,3
3/12/2020,Tamil Nadu,64, , ,6,3,12
3/13/2020,Tamil Nadu,117,41,20,7,20,8
3/14/2020,Tamil Nadu,116,41,23,5,14,3
3/15/2020,Tamil Nadu,101,18,24,5,20,8
3/16/2020,Tamil Nadu,105,42,39,6,3,7
3/17/2020,Tamil Nadu,113,4,61,5,2,6
3/18/2020,Tamil Nadu,106,6,140,6,2,8
3/19/2020,Tamil Nadu,98,5,180,4,2,11
3/20/2020,Tamil Nadu,99,3,99,4,2,12
3/21/2020,Tamil Nadu,89,2,51,2,1,10
3/22/2020,Tamil Nadu,107,5,36,4,2,10
3/23/2020,Tamil Nadu,83,3,46,1,2,2
3/24/2020,Tamil Nadu,58,2,52, ,2,3
3/25/2020,Tamil Nadu,59,2,57,1,3,3
3/26/2020,Tamil Nadu,71,2,50, ,1,4
3/27/2020,Tamil Nadu,88, , , , ,5
3/28/2020,Tamil Nadu,121,8,34,3,2,4
3/29/2020,Tamil Nadu,76,54,42,6,1,5
3/30/2020,Tamil Nadu,96,57,41,5,1,4
3/31/2020,Tamil Nadu,103,5,48,7,1,5
2/1/2020,Tamil Nadu,94,35,10,6,18,9
2/2/2020,Tamil Nadu,151,50,10,8,17,12
2/3/2020,Tamil Nadu,141,52,10,8,18,11
2/4/2020,Tamil Nadu,143,50,10,8,12,9
2/5/2020,Tamil Nadu,161,46,10,16,7,10
2/6/2020,Tamil Nadu,114,47,10,4,7,6
2/7/2020,Tamil Nadu,87,42,10,3,7,6
2/8/2020,Tamil Nadu,69,37,10,3,21,6
2/9/2020,Tamil Nadu,76,52,10,7,20,6
2/10/2020,Tamil Nadu,103,56,10,11,7,7
2/11/2020,Tamil Nadu,78,63,10,12,8,8
2/12/2020,Tamil Nadu,94,70,10,12,19,10
2/13/2020,Tamil Nadu,149,73,10,10,22,13
2/14/2020,Tamil Nadu,142,46,6,9,5,9
2/15/2020,Tamil Nadu,108,42,6,7,14,9
2/16/2020,Tamil Nadu,97,53,7,9,14,8
2/17/2020,Tamil Nadu,116,63,8,11,6,11
2/18/2020,Tamil Nadu,107,69,4,7,12,7
2/19/2020,Tamil Nadu,114,57,3,5,21,6
2/20/2020,Tamil Nadu,114,81,11,10,4,9
2/21/2020,Tamil Nadu,100,47,5,5,6,14
2/22/2020,Tamil Nadu,90,47,8,4,20,9
2/23/2020,Tamil Nadu,91,59,9,6,11,14
2/24/2020,Tamil Nadu,70,47,15,7,8,16
2/25/2020,Tamil Nadu,92,52,24,7,5,6
2/26/2020,Tamil Nadu,128,57,21,5,8,11
2/27/2020,Tamil Nadu,142,43,21,7,17,14
2/28/2020,Tamil Nadu,73,63,22,9,14,9
2/29/2020,Tamil Nadu,123,40,25,5,10,5
1/1/2020,Tamil Nadu,91,21,15,5,4,7
1/2/2020,Tamil Nadu,62,28,15,8,10,10
1/3/2020,Tamil Nadu,89,39,15,3,8,4
1/4/2020,Tamil Nadu,81,28,15,3,5,6
1/5/2020,Tamil Nadu,65,23,15,3,6,5
1/6/2020,Tamil Nadu,61,38,15,4,11,5
1/7/2020,Tamil Nadu,107,52,15,8,14,5
1/8/2020,Tamil Nadu,138,58,15,11,17,8
1/9/2020,Tamil Nadu,132,56,15,6,5,5
1/10/2020,Tamil Nadu,115,59,15,11,7,8
1/11/2020,Tamil Nadu,143,59,15,7,5,9
1/12/2020,Tamil Nadu,155,83,15,8,13,9
1/13/2020,Tamil Nadu,169,86,15,16,17,16
1/14/2020,Tamil Nadu,240,50,15,4,10,5
1/15/2020,Tamil Nadu,126,39,15,3,12,4
1/16/2020,Tamil Nadu,103,44,15,3,12,4
1/17/2020,Tamil Nadu,104,25,15,9,28,9
1/18/2020,Tamil Nadu,109,27,14,13,26,8
1/19/2020,Tamil Nadu,118,47,15,18,18,9
1/20/2020,Tamil Nadu,132,52,15,12,14,7
1/21/2020,Tamil Nadu,129,51,15,10,8,7
1/22/2020,Tamil Nadu,118,66,15,11,15,10
1/23/2020,Tamil Nadu,169,79,15,19,20,10
1/24/2020,Tamil Nadu,166,71,15,18,24,10
1/25/2020,Tamil Nadu,201,65,15,10,6,9
1/26/2020,Tamil Nadu,227,60,15,12,4,13
1/27/2020,Tamil Nadu,161,56,15,9,4,13
1/28/2020,Tamil Nadu,162,55,15,9,4,11
1/29/2020,Tamil Nadu,150,51,9,8,4,10
1/30/2020,Tamil Nadu,117,44,10,10,6,17
1/31/2020,Tamil Nadu,140,44,10,6,7,10
10/4/2019,Tamil Nadu,88, , ,3,3,2
10/5/2019,Tamil Nadu,44, , , , , 
10/7/2019,Tamil Nadu,250, , ,14,2,5
10/8/2019,Tamil Nadu,137, , ,16,2,5
10/9/2019,Tamil Nadu,113, , ,15,2,5
10/10/2019,Tamil Nadu,102, , ,4,2,4
10/11/2019,Tamil Nadu,99, , ,5,2,4
10/12/2019,Tamil Nadu,163, , , , , 
10/14/2019,Tamil Nadu,88, , ,4,2,6
10/15/2019,Tamil Nadu,84, , ,1,3,6
10/16/2019,Tamil Nadu,74, , ,1,3,7
10/17/2019,Tamil Nadu,84, , ,1,3,7
10/18/2019,Tamil Nadu,93, , ,1,5,28
10/19/2019,Tamil Nadu,72, , , , , 
10/21/2019,Tamil Nadu,78, , ,2,2,7
10/22/2019,Tamil Nadu,95, , ,2,3,10
10/23/2019,Tamil Nadu,110, , ,17,3,7
10/24/2019,Tamil Nadu,101, , ,30,4,13
10/25/2019,Tamil Nadu,119, , ,36,7,20
10/26/2019,Tamil Nadu,199, , , , , 
10/28/2019,Tamil Nadu,103, , ,21,2,8
10/29/2019,Tamil Nadu,116, , ,24,4,6
10/30/2019,Tamil Nadu,124, , ,25,2,10
10/31/2019,Tamil Nadu,312, , ,20,3,13
11/1/2019,Tamil Nadu,144, , ,2,4,10
11/2/2019,Tamil Nadu,44, , , , , 
11/4/2019,Tamil Nadu,189, , ,9,6,12
11/5/2019,Tamil Nadu,184, , ,11,6,9
11/6/2019,Tamil Nadu,190, , ,10,4,7
11/7/2019,Tamil Nadu,202, , ,9,3,8
11/8/2019,Tamil Nadu,232, , ,6,1,6
11/9/2019,Tamil Nadu,323, , , , , 
11/15/2019,Tamil Nadu,78,65,42,4,3,3
11/16/2019,Tamil Nadu,96,119,80,3,3,3
11/17/2019,Tamil Nadu,160,76,17,5,3,1
11/18/2019,Tamil Nadu,71,28,34,4,3,2
11/19/2019,Tamil Nadu,66,31,18,3,3,1
11/20/2019,Tamil Nadu,73,54,9,5,3,1
11/21/2019,Tamil Nadu,130,46,17,3,3,1
11/22/2019,Tamil Nadu,85,49,6,3,3,1
11/23/2019,Tamil Nadu,114,51,24,3,3,2
11/24/2019,Tamil Nadu,131,53,19,3,4,1
11/25/2019,Tamil Nadu,110,70,9,2,4,1
11/26/2019,Tamil Nadu,144,58,24,1,4,2
11/27/2019,Tamil Nadu,107,51,23,5,4,2
11/28/2019,Tamil Nadu,76,46,18,3,4,2
11/29/2019,Tamil Nadu,86,47,22,4,4,2
11/30/2019,Tamil Nadu,66,53,29,5,4,3
12/1/2019,Tamil Nadu,50,33,28,4,5,2
12/2/2019,Tamil Nadu,56,72,5,4,3,5
12/3/2019,Tamil Nadu,83,61,9,3,4,10
12/4/2019,Tamil Nadu,148,61,13,3,4,3
12/5/2019,Tamil Nadu,151,66,10,3,5,6
12/6/2019,Tamil Nadu,148,29,4,7,4,11
12/7/2019,Tamil Nadu,109,39,4,13,2,9
12/8/2019,Tamil Nadu,99,36,7,11,3,6
12/9/2019,Tamil Nadu,92, , ,8,5,5
12/10/2019,Tamil Nadu,114,27, ,11,5,8
12/11/2019,Tamil Nadu,106,34,11,6,5,5
12/12/2019,Tamil Nadu,87,40,15,5,5,5
12/13/2019,Tamil Nadu,98,42,15,8,9,6
12/14/2019,Tamil Nadu,124,35,15,6,4,4
12/15/2019,Tamil Nadu,93,29,15,8,3,8
12/16/2019,Tamil Nadu,84,50,15,9,3,5
12/17/2019,Tamil Nadu,133,42,16,10,5,5
12/18/2019,Tamil Nadu,131,50,16,10,7,6
12/19/2019,Tamil Nadu,145,64,15,10,6,8
12/20/2019,Tamil Nadu,164,62,15,12,13,8
12/21/2019,Tamil Nadu,167,51,15,11,17,8
12/22/2019,Tamil Nadu,152,51,15,13,5,9
12/23/2019,Tamil Nadu,160,65,15,4,3,3
12/24/2019,Tamil Nadu,127,48,15,14,8,12
12/25/2019,Tamil Nadu,150, , ,13,21,10
12/26/2019,Tamil Nadu,137,45,15,13,8,6
12/27/2019,Tamil Nadu,112,54,15,9,6,5
12/28/2019,Tamil Nadu,124,55,15,6,5,5
12/29/2019,Tamil Nadu,145, , , , , 
7/1/2019,Tamil Nadu,119, , ,9,2,9
7/2/2019,Tamil Nadu,128, , ,10,7,9
7/3/2019,Tamil Nadu,127, , ,7,1,9
7/4/2019,Tamil Nadu,130, , ,8,1,11
7/5/2019,Tamil Nadu,120, , ,8,3,13
7/6/2019,Tamil Nadu,121, , ,7,2,9
7/7/2019,Tamil Nadu,131, , ,7,2,8
7/8/2019,Tamil Nadu,121, , ,8,2,8
7/9/2019,Tamil Nadu,115, , ,8,3,11
7/10/2019,Tamil Nadu,106, , ,9,3,10
7/11/2019,Tamil Nadu,115, , ,9,5,9
7/12/2019,Tamil Nadu,136, , ,6,3,10
7/13/2019,Tamil Nadu,100, , ,4,3,8
7/14/2019,Tamil Nadu,111, , ,8,3,9
7/15/2019,Tamil Nadu,109, , ,12,2,10
7/16/2019,Tamil Nadu,100, , ,14,2,14
7/17/2019,Tamil Nadu,126, , ,12,2,10
7/18/2019,Tamil Nadu,148, , ,11,5,10
7/19/2019,Tamil Nadu,117, , ,12,5,8
7/20/2019,Tamil Nadu,124, , ,9,1,11
7/21/2019,Tamil Nadu,116, , ,12,5,16
7/22/2019,Tamil Nadu,93, , ,12,9,13
7/23/2019,Tamil Nadu,105, , ,10,11,10
7/24/2019,Tamil Nadu,109, , ,10,6,10
7/25/2019,Tamil Nadu,112, , ,8,4,11
7/26/2019,Tamil Nadu,112, , ,9,3,10
7/27/2019,Tamil Nadu,124, , ,5,3,11
7/28/2019,Tamil Nadu,145, , ,4,2,10
7/29/2019,Tamil Nadu,127, , ,8,2,12
7/30/2019,Tamil Nadu,143, , ,13,2,8
7/31/2019,Tamil Nadu,146, , ,9,2,9
8/1/2019,Tamil Nadu,132, , ,12,2,10
8/2/2019,Tamil Nadu,130, , ,26,2,12
8/3/2019,Tamil Nadu,134, , ,42,3,11
8/4/2019,Tamil Nadu,124, , ,24,2,8
8/5/2019,Tamil Nadu,141, , ,19,3,9
8/6/2019,Tamil Nadu,124, , ,12,8,7
8/7/2019,Tamil Nadu,104, , ,12,4,16
8/8/2019,Tamil Nadu,112, , ,10,2,8
8/9/2019,Tamil Nadu,114, , ,11,10,7
8/10/2019,Tamil Nadu,105, , , , , 
8/14/2019,Tamil Nadu,129, , ,9,12,12
8/15/2019,Tamil Nadu,78, , ,12,7,12
8/16/2019,Tamil Nadu,108, , ,14,8,9
