date,state,pm2_5,pm10,o3,no2,so2,co
5/1/2020,west bengal,43,23,24,8,3,1
5/2/2020,west bengal,58,25,30,6,3,1
5/3/2020,west bengal,62,37,20,8,3,1
5/4/2020,west bengal,78, , , , , 
4/1/2020,west bengal,144,58,25,9,6,2
4/2/2020,west bengal,122,65,23,9,6,2
4/3/2020,west bengal,129,80,25,10,6,2
4/4/2020,west bengal,150,67,38,8,6,2
4/5/2020,west bengal,135,66,42,12,6,2
4/6/2020,west bengal,132,58,37,9,7,1
4/7/2020,west bengal,118,44,31,10,7,1
4/8/2020,west bengal,75,34,29,10,7,1
4/9/2020,west bengal,67,33,24,8,6,1
4/10/2020,west bengal,65,35,30,7,6,1
4/11/2020,west bengal,66,45,21,6,6,1
4/12/2020,west bengal,79,41,31,6,5,1
4/13/2020,west bengal,80,38,23,5,5,1
4/14/2020,west bengal,74,44,26,6,5,1
4/15/2020,west bengal,80,46,27,8,5,2
4/16/2020,west bengal,88,36,25,6,5,1
4/17/2020,west bengal,77,30,26,7,5,1
4/18/2020,west bengal,62,25,30,9,6,1
4/19/2020,west bengal,54,26,26,6,5,1
4/20/2020,west bengal,55,21,29,10,6,1
4/21/2020,west bengal,50,23,26,8,6,1
4/22/2020,west bengal,59,22,19,7,4,1
4/23/2020,west bengal,53,19,24,7,4,1
4/24/2020,west bengal,44,23,26,7,3,1
4/25/2020,west bengal,52,23,26,7,3,1
4/26/2020,west bengal,55,15,17,6,3,1
4/27/2020,west bengal,39,15,18,6,3,1
4/28/2020,west bengal,33,25,26,8,3,1
4/29/2020,west bengal,65,21,26,7,3,1
4/30/2020,west bengal,54,18,23,6,3, 
3/1/2020,west bengal,186,134,23,32,12,7
3/2/2020,west bengal,182,93,10,32,8,5
3/3/2020,west bengal,166,76,21,23,9,4
3/4/2020,west bengal,150,81,17,24,9,4
3/5/2020,west bengal,127,71,19,17,9,3
3/6/2020,west bengal,121,51,15,15,7,3
3/7/2020,west bengal,107,72,20,21,8,5
3/8/2020,west bengal,128,83,27,22,9,3
3/9/2020,west bengal,144,84,28,25,9,4
3/10/2020,west bengal,153,82,36,24,10,3
3/11/2020,west bengal,150,88,21,24,10,4
3/12/2020,west bengal,159,86,34,25,10,4
3/13/2020,west bengal,156,70,25,14,8,2
3/14/2020,west bengal,103,47,22,19,8,3
3/15/2020,west bengal,75,80,28,22,11,4
3/16/2020,west bengal,150,85,42,19,8,3
3/17/2020,west bengal,156,113,21,24,7,5
3/18/2020,west bengal,171,98,40,25,9,5
3/19/2020,west bengal,154,68,32,20,9,3
3/20/2020,west bengal,120,79,31,19,7,1
3/21/2020,west bengal,132,32,23,13,6, 
3/22/2020,west bengal,60,53,30,13,6,1
3/23/2020,west bengal,102,55,31,11,6,2
3/24/2020,west bengal,108,73,23,12,6,2
3/25/2020,west bengal,152,58,28,11,6,2
3/26/2020,west bengal,112,73,31,10,6,1
3/27/2020,west bengal,140,68,8,11,6,2
3/28/2020,west bengal,134,59,9,10,6,2
3/29/2020,west bengal,115,65,26,12,7,1
3/30/2020,west bengal,115,65,24,11,7,2
3/31/2020,west bengal,127,68,26,9,6,2
2/1/2020,west bengal,106,225,33,31,13,5
2/2/2020,west bengal,100,110,30,28,11,6
2/3/2020,west bengal,117,154,32,38,16,7
2/4/2020,west bengal,172,226,33,40,25,6
2/5/2020,west bengal,177,169,25,31,16,6
2/6/2020,west bengal,180,164,19,28,15,6
2/7/2020,west bengal,174,194,4,34,15,6
2/8/2020,west bengal,188, , , , , 
2/11/2020,west bengal,178, , , , , 
2/13/2020,west bengal,179,361,20,64,22,14
2/14/2020,west bengal,203,200,23,47,14,8
2/15/2020,west bengal,182,207,24,48,12,8
2/16/2020,west bengal,189,290,25,42,9,11
2/17/2020,west bengal,193,279,21,29,6,9
2/18/2020,west bengal,198,167,21,30,15,5
2/19/2020,west bengal,182,135,28,27,14,4
2/20/2020,west bengal,162,190,26,25,7,6
2/21/2020,west bengal,179,182,23,31,7,6
2/22/2020,west bengal,184,170,19,22,4,6
2/23/2020,west bengal,176,274,27,23,8,9
2/24/2020,west bengal,197,106,12,30,6,5
2/25/2020,west bengal,178,72,18,23,9,3
2/26/2020,west bengal,130,85,18,27,9,5
2/27/2020,west bengal,145,96,23,26,6,5
2/28/2020,west bengal,163,93,20,28,7,5
2/29/2020,west bengal,163,127,22,27,8,7
1/2/2020,west bengal,188,84,14,20,8,3
1/3/2020,west bengal,119,133,12,24,9,10
1/4/2020,west bengal,150,203,7,26,9,11
1/5/2020,west bengal,189,134,29,28,6,7
1/6/2020,west bengal,170,181,30,32,10,8
1/7/2020,west bengal,193,223,33,28,10,7
1/8/2020,west bengal,209,136,24,33,9,9
1/9/2020,west bengal,171,141,25,30,11,5
1/10/2020,west bengal,176,112,25,26,12,3
1/11/2020,west bengal,163,172,27,41,12,10
1/12/2020,west bengal,175,202,35,40,13,6
