State/UT,Geographical Area_1-13,Geographical Area_15-19,Very dense forest-2001,Open forest-2001,Total-2001,Very dense forest-2003,Mod. dense forest-2003,Open forest-2003,Total-2003,Very dense forest-2005,Mod. dense forest-2005,Open forest-2005,Total-2005,Very dense forest-2007,Mod. dense forest-2007,Open forest-2007,Total-2007,Very dense forest-2011,Mod. dense forest-2011,Open forest-2011,Total-2011,Very dense forest-2013,Mod. dense forest-2013,Open forest-2013,Total-2013,Very dense forest-2015,Mod. dense forest-2015,Open forest-2015,Total-2015,Very dense forest-2017,Mod. dense forest-2017,Open forest-2017,Total-2017,Very dense forest-2019,Mod. dense forest-2019,Open forest-2019,Total-2019
Andhra Pradesh,"2,75,069","1,60,204","25,827","18,810","44,637",23,"24,356","20,040","44,419",130,"24,199","20,043","44,372",820,"24,757","19,525","45,102",23,"24,356","20,040","44,419",130,"24,199","20,043","44,372",375,"13,093","10,956","24,424","1,957","14,051","12,139","28,147","1,994","13,938","13,205","29,137"
Arunachal Pradesh,"83,743","83,743","53,932","14,113","68,045","13,907","39,604","14,508","68,019","14,411","37,977","15,389","67,777","20,858","31,556","14,939","67,353","13,907","39,604","14,508","68,019","14,411","37,977","15,389","67,777","20,804","31,301","15,143","67,248","20,721","30,955","15,288","66,964","21,095","30,557","15,036","66,688"
Assam,"78,438","78,438","15,830","11,884","27,714","1,684","11,358","14,784","27,826","1,444","11,387","14,814","27,645","1,461","11,558","14,673","27,692","1,684","11,358","14,784","27,826","1,444","11,387","14,814","27,645","1,441","11,268","14,914","27,623","2,797","10,192","15,116","28,105","2,795","10,279","15,253","28,327"
Bihar,"94,163","94,163","3,372","2,348","5,720",76,"2,951","2,531","5,558",110,"3,004","2,465","5,579",231,"3,248","3,325","6,804",76,"2,951","2,531","5,558",110,"3,004","2,465","5,579",248,"3,376","3,664","7,288",332,"3,260","3,707","7,299",333,"3,280","3,693","7,306"
Chhattisgarh,"1,35,191","1,35,191","37,880","18,568","56,448","1,540","37,440","17,018","55,998","2,256","36,472","17,135","55,863","4,162","35,038","16,670","55,870","1,540","37,440","17,018","55,998","2,256","36,472","17,135","55,863","4,152","34,846","16,588","55,586","7,064","32,215","16,268","55,547","7,068","32,198","16,345","55,611"
Delhi,"1,483","1,483",38,73,111,0,52,118,170,0,54,122,176,7,50,120,177,0,52,118,170,0,54,122,176,6.94,57.15,124.68,188.77,6.72,56.24,129.45,192.41,6.72,56.42,132.30,195.44
Goa,"3,702","3,702","1,785",310,"2,095",0,"1,255",901,"2,156",55,"1,095","1,014","2,164",511,624,"1,016","2,151",0,"1,255",901,"2,156",55,"1,095","1,014","2,164",542,580,"1,102","2,224",5,576,"1,115","2,229",538,576,"1,123","2,237"
Gujarat,"1,96,022","1,96,022","8,673","6,479","15,152",114,"6,231","8,601","14,946",114,"6,024","8,577","14,715",376,"5,249","8,995","14,620",114,"6,231","8,601","14,946",114,"6,024","8,577","14,715",376,"5,220","9,064","14,660",378,"5,200","9,179","14,757",378,"5,092","9,387","14,857"
Haryana,"44,212","44,212","1,139",615,"1,754",2,518,997,"1,517",3,523,"1,061","1,587",27,463,"1,104","1,594",2,518,997,"1,517",3,523,"1,061","1,587",27,452,"1,105","1,584",28,452,"1,108","1,588",28,451,"1,123","1,602"
Himachal Pradesh,"55,673","55,673","10,429","3,931","14,360","1,093","7,883","5,377","14,353","1,097","7,831","5,441","14,369","3,224","6,383","5,061","14,668","1,093","7,883","5,377","14,353","1,097","7,831","5,441","14,369","3,224","6,381","5,091","14,696","3,110","6,705","5,285","15,100","3,113","7,126","5,195","15,434"
