State/UT,Geographical Area_1-13,Geographical Area_15-19,Forest_Cover-2001,Forest_Cover-2003,Forest_Cover-2005,Forest_Cover-2007,Forest_Cover-2009,Forest_Cover-2011,Forest_Cover-2013,Forest_Cover-2015,Forest_Cover-2017,Forest_Cover-2019,Tree_Cover-2001,Tree_Cover-2003,Tree_Cover-2005,Tree_Cover-2007,Tree_Cover-2009,Tree_Cover-2011,Tree_Cover-2013,Tree_Cover-2015,Tree_Cover-2017,Tree_Cover-2019
Andhra Pradesh,275069,160204,44637,44419,44372,45102,44902,44419,44372,24424,28147,29137,9011,12120,7640,7340,7191,7152,7187,3965,3753,3914
Arunachal Pradesh,83743,83743,68045,68019,67777,67353,67853,68019,67777,67248,66964,66688,478,363,446,516,592,549,660,761,807,848
Assam,78438,78438,27714,27826,27645,27692,27792,27826,27645,27623,28105,28327,1942,935,1484,1554,1590,1564,1582,1613,1496,1408
Bihar,94163,94163,5720,5558,5579,6804,6004,5558,5579,7288,7299,7306,3693,1620,2522,2512,2495,2369,2164,2182,2263,2003
Chhattisgarh,135191,135191,56448,55998,55863,55870,55903,55998,55863,55586,55547,55611,3535,6723,4492,4292,4027,3866,3463,3629,3833,4248
Delhi,1483,1483,111,170,176,177,173,170,176,189,192,195,40,98,107,116,123,120,118,111,113,129
Goa,3702,3702,2095,2156,2164,2151,2154,2156,2164,2224,2229,2237,62,136,268,277,286,286,334,325,323,272
Gujarat,196022,196022,15152,14946,14715,14620,14804,14946,14715,14660,14757,14857,4036,10586,7621,7921,8390,7837,8358,7914,8024,6912
Haryana,44212,44212,1754,1517,1587,1594,1554,1517,1587,1584,1588,1602,1526,1415,1565,1485,1409,1395,1282,1355,1415,1564
Himachal Pradesh,55673,55673,14360,14353,14369,14668,14458,14353,14369,14696,15100,15434,397,491,709,679,638,623,697,757,822,829
Jammu & Kashmir,222236,222236,21237,21267,21273,22686,21986,21267,21273,22988,23241,23612,2217,3826,5633,6133,6764,6550,7664,8354,7815,7944
Jharkhand,79714,79714,22637,22716,22591,22894,22794,22716,22591,23478,23553,23611,2694,5012,3080,3054,3032,2914,2629,2783,2922,2657
Karnataka,191791,191791,36991,36449,35251,36190,36330,36449,35251,36421,37550,38575,7446,5371,5467,5567,5683,5733,5920,5552,5713,6257
Kerala,38863,38863,15560,15577,15595,17324,16324,15577,15595,19239,20321,21144,1146,1903,2632,2732,2801,2755,3146,2951,2959,2936
Madhya Pradesh,308245,308245,77265,76429,76013,77700,76900,76429,76013,77462,77414,77482,5751,7250,6267,6667,6871,7090,7087,7773,8073,8339
Maharashtra,307713,307713,47482,46865,47476,50650,48650,46865,47476,50628,50682,50778,8269,9320,8978,9178,9466,9079,9142,9558,9831,10806
Manipur,22327,22327,16926,17219,17086,17280,17256,17219,17086,16994,17346,16847,95,136,142,169,197,193,224,243,220,173
Meghalaya,22429,22429,15584,16839,16988,17321,17021,16839,16988,17217,17146,17119,140,352,405,475,542,578,668,710,657,710
Mizoram,21081,21081,17494,18430,18684,19240,18940,18430,18684,18748,18186,18006,95,130,122,152,172,190,223,535,467,441
Nagaland,16579,16579,13345,13609,13719,13464,13564,13609,13719,12966,12489,12486,70,217,238,268,300,322,372,381,379,362
Orissa,155707,155707,48838,48366,48374,48855,48555,48366,48374,50354,51345,51619,4364,6381,4598,4518,4435,4301,4013,3986,3993,4648
Punjab,50362,50362,2432,1580,1558,1664,1614,1580,1558,1771,1837,1849,1634,1608,1823,1723,1699,1699,1499,1544,1622,1592
Rajasthan,342239,342239,16367,15826,15850,16036,15936,15826,15850,16171,16572,16630,5286,8638,8379,8376,8274,8272,7860,8269,8266,8112
Sikkim,7096,7096,3193,3262,3262,3357,3297,3262,3262,3357,3344,3342,14,22,27,23,20,25,31,35,35,36
Tamil Nadu,130058,130058,21482,22643,23044,23338,22838,22643,23044,26345,26281,26364,6054,4991,5621,5221,4968,4718,4866,4505,4671,4830
Telangana,0,114865,0,0,0,0,0,0,0,21591,20419,20582,0,0,0,0,0,0,0,2549,2669,2514
Tripura,10486,10486,7065,8093,8155,8073,8083,8093,8155,7811,7726,7726,68,116,134,157,171,184,213,233,215,231
Uttar Pradesh,240928,240928,13746,14118,14127,14341,14241,14118,14127,14461,14679,14806,7545,7715,8203,7803,7381,7382,6895,7044,7442,7342
Uttarakhand,53483,53483,23938,24465,24442,24495,24480,24465,24442,24240,24295,24303,448,571,658,661,665,642,703,752,767,841
West Bengal,88752,88752,10693,12343,12413,12994,12694,12343,12413,16828,16847,16902,3264,1731,2269,2369,2458,2335,2144,2088,2136,2006
A & N Islands,8249,8249,6930,6964,6629,6662,6722,6964,6629,6751,6742,6743,83,33,53,48,44,39,41,37,35,41
Chandigarh,114,114,9,15,15,17,16,15,15,22,22,22,2,8,9,10,11,10,10,9,10,25
Dadra & Nagar Haveli,491,491,219,225,221,211,218,225,221,206,207,207,27,35,28,28,27,29,29,28,30,28
Daman & Diu,112,112,6,8,8,6,7,8,8,20,20,20,4,6,9,9,9,9,9,10,10,5
Lakshadweep,32,32,27,23,25,26,24,23,25,27,27,27,0,2,4,4,4,5,5,4,2,1
Puducherry,480,480,36,40,42,44,42,40,42,55,54,52,35,35,42,37,34,31,29,27,27,23
